id ,text,label,index,description,
1,스트립 화면 열기,/windows/teaching/strip,1,,
2,Strip 티칭 켜줘,/windows/teaching/strip,1,,
3,스트립 티칭 열어,/windows/teaching/strip,1,,
4,Strip 창 띄워,/windows/teaching/strip,1,,
5,스트립 교정 시작,/windows/teaching/strip,1,,
6,스트립 티칭 창 열어줘 ,/windows/teaching/strip,1,스트립 티칭 창 열기,
7,strip 티칭 띄워 ,/windows/teaching/strip,1,strip 창 열기,
8,Strip 티칭 창 열어 ,/windows/teaching/strip,1,Strip 티칭 창 열기,
9,Strip 교정 시작 ,/windows/teaching/strip,1,Strip 티칭 교정 시작,
10,Strip 창 켜. ,/windows/teaching/strip,1,,
11,Strip 창 보여줘. ,/windows/teaching/strip,1,,
12,티칭창 STRIP 실행,/windows/teaching/strip,1,,
13,teaching STRIP,/windows/teaching/strip,1,,
14,STRIP 유형 자재 티칭창 켜줘,/windows/teaching/strip,1,,
15,스트립 티칭 창 활성화,/windows/teaching/strip,1,,
16,strip 창,/windows/teaching/strip,1,,
17,Strip 티칭 창,/windows/teaching/strip,1,,
18,스트립 티칭 창,/windows/teaching/strip,1,,
19,QFN 화면 열어,/windows/teaching/qfn,1,,
20,QFN 창 켜줘,/windows/teaching/qfn,1,,
21,QFN 티칭 열어,/windows/teaching/qfn,1,,
22,QFN 작업창 띄워,/windows/teaching/qfn,1,,
23,QFN 티칭 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기,
24,QFN 창 보여줘 ,/windows/teaching/qfn,1,QFN 창 열기,
25,QFN 티칭 창 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기,
26,QFN 작업창 화면 ,/windows/teaching/qfn,1,QFN 작업창 열기,
27,QFN 창 보여줘. ,/windows/teaching/qfn,1,,
28,QFN 티칭 켜. ,/windows/teaching/qfn,1,,
29,티칭창 QFN 실행,/windows/teaching/qfn,1,,
30,teaching QFN,/windows/teaching/qfn,1,,
31,QFN 유형 자재 티칭창 켜줘,/windows/teaching/qfn,1,,
32,qfn 티칭 창 활성화,/windows/teaching/qfn,1,,
33,qfn 창,/windows/teaching/qfn,1,,
34,QFN teacing 열어,/windows/teaching/qfn,1,,
35,QFN teacing 켜,/windows/teaching/qfn,1,QFN 티칭 창 열기,
36,QC 창 열기,/windows/teaching/qc,1,,
37,QC 티칭 열어줘,/windows/teaching/qc,1,,
38,QC 교정창 띄워,/windows/teaching/qc,1,,
39,QC 창 띄워줘 ,/windows/teaching/qc,1,QC 창 열기,
40,QC 티칭 부분 열기 ,/windows/teaching/qc,1,QC 티칭 창 열기,
41,QC 창 켜. ,/windows/teaching/qc,1,,
42,QC 티칭 보여줘. ,/windows/teaching/qc,1,,
43,qc 티칭 창 활성화,/windows/teaching/qc,1,,
44,qc 창,/windows/teaching/qc,1,,
45,PRS 결과 재티칭,/windows/teaching/prs/reteach,1,,
46,PRS 창 재실행,/windows/teaching/prs/reteach,1,,
47,PRS 재작업 실행,/windows/teaching/prs/reteach,1,,
48,PRS 재티칭 화면 열기 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 화면,
49,PRS 재티칭 실행 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행,
50,PRS 창 다시 실행,/windows/teaching/prs/reteach,1,,
51,PRS 티칭 다시 시작해,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행,
52,PRS reteaching 해,/windows/teaching/prs/reteach,1,,
53,매핑 재티칭 시작,/windows/teaching/mapping/reteach,1,,
54,맵핑 리티칭 실행,/windows/teaching/mapping/reteach,1,,
55,매핑 샷 재활성화,/windows/teaching/mapping/reteach,1,,
56,맵핑 다시 티칭,/windows/teaching/mapping/reteach,1,,
57,맵핑 재티칭 창 열어줘 ,/windows/teaching/mapping/reteach,1,맵핑 샷 기반 재티칭 창 열기,
58,Mapping 재티칭 실행 ,/windows/teaching/mapping/reteach,1,Mapping 샷 기반 재티칭 실행,
59,매핑 reteaching 해줘,/windows/teaching/mapping/reteach,1,,
60,mapping reteach 시작,/windows/teaching/mapping/reteach,1,,
61,매핑 샷 기반 재티칭 창 열어주세요,/windows/teaching/mapping/reteach,1,현재 매핑 샷 기반 재티칭 창 열기,
62,매핑 재티칭 창 띄워줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 창 열기,
63,매핑 재티칭 창 열기,/windows/teaching/mapping/reteach,1,매핑 샷 기반 재티칭 창 열기,
64,매핑 재티칭 화면 보여줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 화면 표시,
65,매핑 샷 재티칭 페이지로,/windows/teaching/mapping/reteach,1,매핑 재티칭 페이지 이동,
66,맵핑 윈도우 열기,/windows/teaching/mapping,1,,
67,매핑 티칭 열어,/windows/teaching/mapping,1,,
68,매핑 작업 시작,/windows/teaching/mapping,1,,
69,맵핑 창 열어 ,/windows/teaching/mapping,1,맵핑 티칭 창 열기,
70,맵핑 창 띄워줘 ,/windows/teaching/mapping,1,맵핑 창 열기,
71,Mapping 티칭 창 열기 ,/windows/teaching/mapping,1,Mapping 티칭 창 열기,
72,맵핑 창 보여줘. ,/windows/teaching/mapping,1,,
73,맵핑 창 열어 줘. ,/windows/teaching/mapping,1,,
74,맵핑 티칭 실행! ,/windows/teaching/mapping,1,,
75,티칭창 매핑 실행,/windows/teaching/mapping,1,,
76,teaching mapping,/windows/teaching/mapping,1,,
77,매핑 유형 자재 티칭창 켜줘,/windows/teaching/mapping,1,,
78,teaching mapping 시작해줘,/windows/teaching/mapping,1,,
79,매핑 유형 자재 창 보여줘,/windows/teaching/mapping,1,,
80,MAPPING 티칭 창 열어줘,/windows/teaching/mapping,1,MAPPING 티칭 창 열기,
81,MAPPING 티칭 화면 보여주세요,/windows/teaching/mapping,1,MAPPING 티칭 창 표시,
82,매핑 티칭 페이지로 이동,/windows/teaching/mapping,1,MAPPING 티칭 메뉴 이동,
83,매핑 티칭창 실행해줘,/windows/teaching/mapping,1,MAPPING 티칭 화면 실행,
84,MAPPING 티칭 설정 열기,/windows/teaching/mapping,1,MAPPING 티칭 세팅창 열기,
85,매핑 창 띄워주세요,/windows/teaching/mapping,1,MAPPING 창 표시 요청,
86,MAPPING 티칭 메뉴 보여줘,/windows/teaching/mapping,1,MAPPING 메뉴 전체 열기,
87,매핑 티칭 페이지 호출,/windows/teaching/mapping,1,MAPPING 티칭 페이지 열기,
88,MAPPING 티칭화면 띄워줘,/windows/teaching/mapping,1,MAPPING 티칭 창 바로보기,
89,매핑 티칭창으로 이동,/windows/teaching/mapping,1,MAPPING 티칭 창 이동,
90,매핑 티칭 창을 열어 주시겠어요?,/windows/teaching/mapping,1,MAPPING 티칭 창 열기 요청,
91,MAPPING 설정 화면으로 가줘,/windows/teaching/mapping,1,MAPPING 티칭 창 이동,
92,매핑 티칭 페이지 보여주세요,/windows/teaching/mapping,1,MAPPING 티칭 페이지 표시,
93,MAPPING 창 켜줘,/windows/teaching/mapping,1,MAPPING 티칭 창 활성화,
94,매핑 티칭 메뉴 실행,/windows/teaching/mapping,1,MAPPING 티칭 메뉴 실행,
95,MAPPING 티칭으로 전환,/windows/teaching/mapping,1,MAPPING 티칭 전환,
96,매핑 설정 창 띄워 주세요,/windows/teaching/mapping,1,MAPPING 설정 창 열기,
97,MAPPING 티칭 화면 활성화,/windows/teaching/mapping,1,MAPPING 티칭 화면 켜기,
98,LGA 창 켜,/windows/teaching/lga,1,,
99,LGA 티칭 열어줘,/windows/teaching/lga,1,,
100,LGA 화면 보여,/windows/teaching/lga,1,,
101,LGA 티칭 창 열기,/windows/teaching/lga,1,,
102,LGA 티칭 켜줘 ,/windows/teaching/lga,1,LGA 티칭 창 열기,
103,LGA 티칭 탭 열기 ,/windows/teaching/lga,1,LGA 티칭 창 열기,
104,티칭 창 띄워. ,/windows/teaching/lga,1,,
105,티칭 창 열어 주세요. ,/windows/teaching/lga,1,,
106,LGA 티칭 보여줘. ,/windows/teaching/lga,1,,
107,티칭창 LGA 실행,/windows/teaching/lga,1,,
108,teaching LGA,/windows/teaching/lga,1,,
109,LGA 유형 자재 티칭창 켜줘,/windows/teaching/lga,1,,
110,LGA 티칭 창 켜줘,/windows/teaching/lga,1,,
111,LGA 티칭 창 열어줘,/windows/teaching/lga,1,,
112,BGA 티칭 시작,/windows/teaching/bga,1,,
113,BGA 티칭 창 켜,/windows/teaching/bga,1,,
114,BGA 설정창 띄워,/windows/teaching/bga,1,,
115,BGA 티칭 시작 ,/windows/teaching/bga,1,BGA 티칭 창 열기,
116,BGA 창 열어. ,/windows/teaching/bga,1,,
117,BGA 티칭 켜줘. ,/windows/teaching/bga,1,,
118,티칭창 BGA 실행,/windows/teaching/bga,1,,
119,teaching BGA,/windows/teaching/bga,1,,
120,BGA 유형 자재 티칭창 켜줘,/windows/teaching/bga,1,,
121,BGA 티칭 창 열어,/windows/teaching/bga,1,,
122,BGA 티칭 창 열기,/windows/teaching/bga,1,,
123,BGA 티칭 열기,/windows/teaching/bga,1,,
124,BGA teacing 열기,/windows/teaching/bga,1,,
125,BGA teacing open,/windows/teaching/bga,1,,
126,BGA teacing 시작,/windows/teaching/bga,1,,
127,BGA teacing 켜,/windows/teaching/bga,1,,
128,SetUp 화면 열어줘,/windows/setup,1,SetUp 화면을 엽니다,
129,셋업 창 켜,/windows/setup,1,SetUp 화면을 엽니다,
130,설정 화면 띄워,/windows/setup,1,SetUp 화면을 엽니다,
131,셋업 메뉴 보여줘,/windows/setup,1,SetUp 화면을 엽니다,
132,셋업창,/windows/setup,1,SetUp 화면을 엽니다,
133,setup 켜줘,/windows/setup,1,SetUp 화면을 엽니다,
134,set up 열어,/windows/setup,1,SetUp 화면을 엽니다,
135,설정 열어,/windows/setup,1,SetUp 화면을 엽니다,
136,설정 ,/windows/setup,1,SetUp 화면을 엽니다,
137,셋업 모드 전환,/windows/setup,1,SetUp 화면을 엽니다,
138,셋업모드,/windows/setup,1,SetUp 화면을 엽니다,
139,setup창,/windows/setup,1,SetUp 화면을 엽니다,
140,SETUP 모드 켜,/windows/setup,1,SetUp 화면을 엽니다,
141,셋업 탭 보여줘,/windows/setup,1,SetUp 화면을 엽니다,
142,설정 탭,/windows/setup,1,SetUp 화면을 엽니다,
143,셋업창으로 이동,/windows/setup,1,SetUp 화면을 엽니다,
144,setup 들어가,/windows/setup,1,SetUp 화면을 엽니다,
145,셋업 화면 띄우기,/windows/setup,1,SetUp 화면을 엽니다,
146,셋업창 열어버려,/windows/setup,1,SetUp 화면을 엽니다,
147,셋업창 켜 버려,/windows/setup,1,SetUp 화면을 엽니다,
148,시스템 옵션 열기,/windows/settings,1,,
149,시스템 설정 열어,/windows/settings,1,,
150,설정 창 열어줘 ,/windows/settings,1,전역/시스템 설정 창 열기,
151,세팅,/windows/settings,1,,
152,시스템 옵션 켜줘,/windows/settings,1,,
153,설정창 보여줘,/windows/settings,1,,
154,Run 화면 열어줘,/windows/run,1,Run 화면을 엽니다,
155,런 화면 띄워,/windows/run,1,Run 화면을 엽니다,
156,런 켜,/windows/run,1,Run 화면을 엽니다,
157,Run 창으로 이동,/windows/run,1,Run 화면을 엽니다,
158,런작동창,/windows/run,1,Run 화면을 엽니다,
159,실행 화면 띄워,/windows/run,1,Run 화면을 엽니다,
160,런화면띄워,/windows/run,1,Run 화면을 엽니다,
161,Run화면 켜,/windows/run,1,Run 화면을 엽니다,
162,런모드,/windows/run,1,Run 화면을 엽니다,
163,런탭 보여줘,/windows/run,1,Run 화면을 엽니다,
164,런옵션,/windows/run,1,Run 화면을 엽니다,
165,런 화면 전환,/windows/run,1,Run 화면을 엽니다,
166,런 화면 켜 줘,/windows/run,1,Run 화면을 엽니다,
167,런창,/windows/run,1,Run 화면을 엽니다,
168,런창 보여줘,/windows/run,1,Run 화면을 엽니다,
169,런,/windows/run,1,Run 화면을 엽니다,
170,카메라 실시간 라이브 SettingX2,/windows/light/live?camera=SettingX2,1,SettingX2 카메라 라이브  뷰 창,
171,SettingX2 뷰 보여줘 ,/windows/light/live?camera=SettingX2,1,SettingX2 카메라 라이브  뷰 창,
172,SettingX2 뷰,/windows/light/live?camera=SettingX2,1,SettingX2 카메라 라이브  뷰 창,
173,SettingX2 view,/windows/light/live?camera=SettingX2,1,SettingX2 카메라 라이브  뷰 창,
174,SettingX2 라이브 뷰 보여줘,/windows/light/live?camera=SettingX2,1,SettingX2 카메라 라이브  뷰 창,
175,SettingX1 뷰 보여 ,/windows/light/live?camera=SettingX1,1,카메라 X1 라이브 창 열기,
176,카메라 실시간 라이브 SettingX1 선택,/windows/light/live?camera=SettingX1,1,SettingX1 카메라 라이브 뷰 창,
177,SettingX1 뷰 ,/windows/light/live?camera=SettingX1,1,카메라 X1 라이브 창 열기,
178,SettingX1 view,/windows/light/live?camera=SettingX1,1,카메라 X1 라이브 창 열기,
179,SettingX1 라이브 뷰 보여줘,/windows/light/live?camera=SettingX1,1,카메라 X1 라이브 창 열기,
180,PRS 라이브 켜 ,/windows/light/live?camera=PRS,1,PRS 카메라 라이브 뷰,
181,조명 라이브 켜기 ,/windows/light/live?camera=PRS,1,PRS 카메라 라이브,
182,PRS 라이브 켜. ,/windows/light/live?camera=PRS,1,,
183,카메라 실시간 라이브 prs 선택,/windows/light/live?camera=PRS,1,PRS 카메라 라이브  뷰 창,
184,PRS 라이브 카메라,/windows/light/live?camera=PRS,1,,
185,실시간 라이브 카메라 prs로,/windows/light/live?camera=PRS,1,PRS 카메라 라이브  뷰 창,
186,Mapping 라이브 켜 ,/windows/light/live?camera=Mapping,1,매핑 카메라 라이브 뷰 창,
187,맵핑 라이브 켜줘. ,/windows/light/live?camera=Mapping,1,,
188,카메라 실시간 라이브 매핑 선택,/windows/light/live?camera=Mapping,1,매핑 카메라 라이브 뷰 창,
189,카메라 실시간 라이브 Mapping 선택,/windows/light/live?camera=Mapping,1,매핑 카메라 라이브 뷰 창,
190,Mapping 라이브 카메라,/windows/light/live?camera=Mapping,1,매핑 카메라 라이브 뷰 창,
191,실시간 라이브 카메라 Mapping으로,/windows/light/live?camera=Mapping,1,매핑 카메라 라이브 뷰 창,
192,Mapping 카메라 라이브 보여줘,/windows/light/live?camera=Mapping,1,Mapping 카메라 실시간 라이브 뷰 열기,
193,Mapping 카메라 실시간 화면 열기,/windows/light/live?camera=Mapping,1,Mapping 카메라 라이브 화면,
194,Mapping 카메라 실시간 보기,/windows/light/live?camera=Mapping,1,Mapping 카메라 라이브 뷰,
195,Mapping 카메라 라이브 화면 열어줘,/windows/light/live?camera=Mapping,1,Mapping 카메라 실시간 열기,
196,매핑 카메라 라이브 보여주세요,/windows/light/live?camera=Mapping,1,Mapping 카메라 실시간 표시,
197,바코드 실시간 보기 ,/windows/light/live?camera=Barcode,1,바코드 카메라 라이브 뷰,
198,바코드 라이브 켜. ,/windows/light/live?camera=Barcode,1,,
199,카메라 실시간 라이브 BarCode 선택,/windows/light/live?camera=BarCode,1,BarCode 카메라 라이브 뷰 창,
200,카메라 실시간 라이브 바코드 선택,/windows/light/live?camera=BarCode,1,BarCode 카메라 라이브 뷰 창,
201,BarCode 라이브 카메라,/windows/light/live?camera=BarCode,1,BarCode 카메라 라이브 뷰 창,
202,실시간 라이브 카메라 바코드로,/windows/light/live?camera=BarCode,1,BarCode 카메라 라이브 뷰 창,
203,lighting 화면 열기,/windows/light,1,,
204,빛 세팅 열어,/windows/light,1,,
205,조명 설정창 켜,/windows/light,1,,
206,라이트 세팅 열기,/windows/light,1,,
207,불 켜 줘 ,/windows/light,1,조명 창 열기,
208,조명 세팅 열기 ,/windows/light,1,조명 설정 창 열기,
209,조명 창 열어줘 ,/windows/light,1,조명 창 열기,
210,조명 켜. ,/windows/light,1,,
211,불 좀 켜줘. ,/windows/light,1,,
212,불 밝게 해줘. ,/windows/light,1,,
213,조명 켜 주세요. ,/windows/light,1,,
214,조명 좀 밝혀. ,/windows/light,1,,
215,불을 최대 밝기로 해! ,/windows/light,1,,
216,불 켜주실 수 있나요? ,/windows/light,1,,
217,조명 최대 밝기. ,/windows/light,1,,
218,라이트 ON ,/windows/light,1,,
219,조명 꺼. ,/windows/light,1,,
220,조명 꺼 주세요. ,/windows/light,1,,
221,불 끄기. ,/windows/light,1,,
222,불 꺼줘. ,/windows/light,1,,
223,불 안 보여. ,/windows/light,1,,
224,불 좀 꺼 ,/windows/light,1,,
225,라이트 창,/windows/light,1,,
226,조명 컨트롤러 값 설정창,/windows/light,1,light 창,
227,라이트 창 열어줘,/windows/light,1,,
228,2025년 10월 12일 기록 보여 ,/windows/history?date=2025-10-12,1,지정 날짜 검사 기록 창 열기,
229,히스토리 2025-09-18로 보여 ,/windows/history?date=2025-09-18,1,지정일자 히스토리 창 열기,
230,오늘 검사 이력 보여줘 ,/windows/history?date={today},1,오늘 날짜 검사 기록 보기,
231,오늘 검사 기록만 보여줘,/windows/history?date={today},1,오늘 날짜 기준 검사 기록 조회,
232,히스토리 보여줘,/windows/history,1,,
233,검사 로그 열어줘,/windows/history,1,,
234,기록 창 열어,/windows/history,1,,
235,검사 이력 볼래,/windows/history,1,,
236,검사 기록 확인,/windows/history,1,,
237,검사 이력 봐볼래,/windows/history,1,,
238,히스토리 창 열어줘 ,/windows/history,1,검사 이력/기록 창 열기,
239,이력 확인 창 열어 ,/windows/history,1,검사 기록 창 열기,
240,히스토리 보여줘 ,/windows/history,1,검사 이력 창 열기,
241,기록 확인할래 ,/windows/history,1,전체 검사 기록 창 열기,
242,최근 검사 기록 열어줘 ,/windows/history,1,전체 검사 이력 비교,
243,최근 기록 ,/windows/history,1,최근 전체 이력 빠른 조회,
244,로그 확인 ,/windows/history,1,로그 데이터 확인,
245,이력창 보여줘. ,/windows/history,1,,
246,이력 창 열어. ,/windows/history,1,,
247,히스토리 창 열어 줘. ,/windows/history,1,,
248,히스토리 보여줘. ,/windows/history,1,,
249,SPC history 창,/windows/history,1,,
250,기록 창,/windows/history,1,,
251,히스토리 창,/windows/history,1,,
252,히스토리 창 열어줘,/windows/history,1,검사/프로그램 사용 기록 창 열기,
253,검사 기록 창 보여줘,/windows/history,1,검사 기록 창 열기,
254,검사용 이력 확인,/windows/history,1,검사 결과 기록 조회,
255,기록 조회,/windows/history,1,지정한 날짜의 검사 기록 조회,
256,최근 프로그램 사용 내역 조회,/windows/history,1,프로그램 사용 기록 내역 조회,
257,검사 기록만 필터링해줘,/windows/history,1,조건 지정 없이 전체 기록 조회,
258,기록,/windows/history,1,검사 기록 창 열기,
259,검사 기록 ,/windows/history,1,검사 기록 창 열기,
260,히스토리,/windows/history,1,검사 기록 창 열기,
261,캘리브레이션 창 보여줘 ,/windows/calibration,1,캘리브레이션(보정) 창 열기,
262,캘리 창 열기 ,/windows/calibration,1,보정 창 열기,
263,캘리브레이션 창 열어 ,/windows/calibration,1,보정(캘리브레이션) 창 열기,
264,보정 화면 켜줘 ,/windows/calibration,1,보정 창 열기,
265,캘리브레이션 창 열어줘. ,/windows/calibration,1,,
266,보정 창 열어. ,/windows/calibration,1,,
267,보정 창 켜줘. ,/windows/calibration,1,,
268,보정 상태 보여줘. ,/windows/calibration,1,,
269,셋업 캘리 창,/windows/calibration,1,,
270,캘리,/windows/calibration,1,,
271,캘리브레이션,/windows/calibration,1,,
272,캘리브레이션 작업 시작,/windows/calibration,1,,
273,캘리브레이션 시작,/windows/calibration,1,,
274,calibration 창 보여줘,/windows/calibration,1,,
275,cali,/windows/calibration,1,,
276,calibration,/windows/calibration,1,,
277,PRS 기반 테스트,/test/run/prs,7,,
278,PRS 레시피 확인,/test/run/prs,7,,
279,PRS 실행,/test/run/prs,7,,
280,PRS 검사 실행 ,/test/run/prs,7,PRS 검사 실행,
281,PRS 티칭 정보 점검 ,/test/run/prs,7,현재 티칭 정보 검증,
282,PRS 검사 테스트 시작해 ,/test/run/prs,7,검사 테스트 시작,
283,현재 티칭 정보 점검 ,/test/run/prs,7,현재 티칭 정보 검증,
284,검사 테스트 시작해 ,/test/run/prs,7,검사 테스트 시작,
285,매핑 테스트 돌려,/test/run/map,7,,
286,맵핑 테스트 실행,/test/run/map,7,,
287,맵 테스트 실행,/test/run/map,7,,
288,맵핑 레시피 검증,/test/run/map,7,,
289,맵핑 테스트 돌려 ,/test/run/map,7,매핑 테스트 실행,
290,매핑 레시피 점검 ,/test/run/map,7,매핑 레시피 검증,
291,맵 레시피 실행 ,/test/run/map,7,맵핑 레시피 실행,
292,QFN 티칭 창 Surface 탭 ROI 초기화,/teaching/qfn/update?propertyName=SurfaceRoi&value=reset,5,,
293,QFN 티칭 창 Surface 탭 ROI 삭제,/teaching/qfn/update?propertyName=SurfaceRoi&value=delete,5,,
294,QFN 티칭 창 Surface 탭 ROI 추가,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,,
295,QFN Surface 로이 추가,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,,
296,QFN Surface 로이 초기화,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,,
297,QFN Surface 로이 생성,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,,
298,QFN 티칭 Surface ROI 생성,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,,
299,QFN Surface 로이 삭제,/teaching/qfn/update?propertyName=SurfaceRoi&value=,5,,
300,QFN Surface 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,,
301,QFN Surface tab,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,,
302,QFN 서페이스 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,,
303,QFN Sawing 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,,
304,QFN Sawing tab,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,,
305,QFN 소잉 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,,
306,QFN Result 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Result,5,,
307,QFN Result tab,/teaching/qfn/update?propertyName=moveTab&value=Result,5,,
308,QFN 리저트 탭,/teaching/qfn/update?propertyName=moveTab&value=Result,5,,
309,QFN RejectMark 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=RejectMark,5,,
310,QFN RejectMark tab,/teaching/qfn/update?propertyName=moveTab&value=RejectMark,5,,
311,QFN padLeads 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=padLeads,5,,
312,QFN padLeads tab,/teaching/qfn/update?propertyName=moveTab&value=padLeads,5,,
313,QFN Package 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Package,5,,
314,QFN Package tab,/teaching/qfn/update?propertyName=moveTab&value=Package,5,,
315,QFN 패키지 탭,/teaching/qfn/update?propertyName=moveTab&value=Package,5,,
316,QFN DontCare 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=DontCare,5,,
317,QFN DontCare tab,/teaching/qfn/update?propertyName=moveTab&value=DontCare,5,,
318,QFN 티칭 창 Lead 탭 ROI 초기화,/teaching/qfn/update?propertyName=LeadRois&value=reset,5,,
319,QFN 티칭 창 Lead 탭 ROI 삭제,/teaching/qfn/update?propertyName=LeadRois&value=delete,5,,
320,QFN 티칭 창 Lead 탭 ROI 추가,/teaching/qfn/update?propertyName=LeadRois&value=add,5,,
321,QFN Lead 로이 추가,/teaching/qfn/update?propertyName=LeadRois&value=add,5,,
322,QFN Lead 로이 생성,/teaching/qfn/update?propertyName=LeadRois&value=add,5,,
323,QFN 티칭 Lead ROI 생성,/teaching/qfn/update?propertyName=LeadRois&value=add,5,,
324,QFN Lead 로이 삭제,/teaching/qfn/update?propertyName=LeadRois&value=,5,,
325,QFN Lead 로이 초기화,/teaching/qfn/update?propertyName=LeadRois&value=,5,,
326,QFN Surface 티칭 테스트,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,,
327,QFN 표면 결함 검출 테스트,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,,
328,QFN 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,,
329,QFN 티칭 창에서 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,,
330,QFN surface 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,,
331,QFN Sawing 티칭 테스트,/teaching/qfn/update?propertyName=inspectSawingTeaching&value=1,5,,
332,QFN Sawing 자재 치수 측정,/teaching/qfn/update?propertyName=inspectSawingTeaching&value=1,5,,
